INDEX,SHIP_NAME,SPEED,SHOOT_RANDOM_DEGREES,ROTATION_SPEED,MAX_HP,MAX_SHIELD,DETECTION_RADIUS,SHOOT_SPEED,SHOOT_MULTIPLIER,PLAYER_SPEED_OVERRIDE,PLAYER_ROTATION_OVERRIDE,IS_PLAYABLE,CARGO_SIZE
67,Cheyenne_Class,60,3,70,100,50,1250,1,1,750,150,,1
68,Talarian_Freighter,60,3,70,100,50,1250,1,1,750,150,,1
69,Galor_Class,60,3,70,100,50,1250,1,1,750,150,,1
70,Bajoran_Freighter,60,3,70,100,50,1250,1,1,750,150,,1
71,daSpu_Class,60,3,70,100,50,1250,1,1,750,150,,1
72,Klingon_Bird_of_Prey,60,3,70,100,50,1250,1,1,750,150,,1
73,Shrike_Class,60,3,70,100,50,1250,1,1,750,150,,1
74,Walker_Class,60,3,70,100,50,1250,1,1,750,150,,1
75,Sovereign_Class,60,3,70,100,50,1250,1,1,750,150,,1
76,Malachowski_Class,60,3,70,100,50,1250,1,1,750,150,,1
77,Miranda_Class_Lantree_variant,60,3,70,100,50,1250,1,1,750,150,,1
78,Nova_Class,60,3,70,100,50,1250,1,1,750,150,,1
79,Constitution_Class_Strange_New_Worlds,60,3,70,100,50,1250,1,1,750,150,,1
80,Nova_Class_Rhode_Island_variant,60,3,70,100,50,1250,1,1,750,150,,1
81,New_Orleans_Class,60,3,70,100,50,1250,1,1,750,150,,1
82,Merchantman,60,3,70,100,50,1250,1,1,750,150,,1
83,Keldon_Class,60,3,70,100,50,1250,1,1,750,150,,1
84,batlh_Class,60,3,70,100,50,1250,1,1,750,150,,1
85,JemHadar,60,3,70,100,50,1250,1,1,750,150,,1
86,sech_Class,60,3,70,100,50,1250,1,1,750,150,,1
87,Lanora_Class,60,3,70,100,50,1250,1,1,750,150,,1
88,Pathfinder_Class,60,3,70,100,50,1250,1,1,750,150,,1
89,Steamrunner_Class,60,3,70,100,50,1250,1,1,750,150,,1
90,Soyuz_Class,60,3,70,100,50,1250,1,1,750,150,,1
91,Miranda_Class,60,3,70,100,50,1250,1,1,750,150,,1
92,Nimitz_Class,60,3,70,100,50,1250,1,1,750,150,,1
93,Freedom_Class,60,3,70,100,50,1250,1,1,750,150,,1
94,Intrepid_Class,60,3,70,100,50,1250,1,1,750,150,,1
95,Niagara_Class,60,3,70,100,50,1250,1,1,750,150,,1
